Voos,Companhia.Aerea,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,LongDest,LatDest,LongOrig,LatOrig
GLO - 1249,GOL,Nelson Rodrigues Guimaraes,Caldas Novas,GO,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.614822,-17.725328
GLO - 1250,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Zumbi Dos Palmares,Rio Largo,AL,-35.792882900000000,-9.5116056,-38.3312411,-12.9110977
GLO - 1251,GOL,Santa Genoveva,Goiania,GO,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-49.2221166,-16.632488000000000
GLO - 1252,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Senador Petronio Portella,Teresina,PI,-42.8211703,-5.0635434,-47.9172348,-15.869736900000000
GLO - 1253,GOL,Senador Petronio Portella,Teresina,PI,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-42.8211703,-5.0635434
GLO - 1255,GOL,Eduardo Gomes,Manaus,AM,Maestro Wilson Fonseca,Santarem,PA,-54.786243300000000,-2.4248295,-60.046324900000000,-3.0358474000000000
GLO - 1256,GOL,Pinto Martins,Fortaleza,CE,Marechal Cunha Machado,Sao Luis,MA,-44.2348802,-2.5849927000000000,-38.5330966,-3.7771555
GLO - 1257,GOL,Guararapes - Gilberto Freyre,Recife,PE,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-34.924015400000000,-8.1259315
GLO - 1258,GOL,Congonhas,Sao Paulo,SP,Ministro Victor Konder,Navegantes,SC,-48.649086700000000,-26.8805344,-46.6565842,-23.6273246
GLO - 1259,GOL,Ministro Victor Konder,Navegantes,SC,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.649086700000000,-26.8805344
GLO - 1260,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Hercilio Luz,Florianopolis,SC,-48.5459657,-27.670118,-46.478126,-23.434552900000000
GLO - 1261,GOL,Salgado Filho,Porto Alegre,RS,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-51.175381100000000,-29.9934732
GLO - 1262,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Hercilio Luz,Florianopolis,SC,-48.5459657,-27.670118,-46.478126,-23.434552900000000
GLO - 1263,GOL,Zumbi Dos Palmares,Rio Largo,AL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-35.792882900000000,-9.5116056
GLO - 1265,GOL,Hercilio Luz,Florianopolis,SC,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-48.5459657,-27.670118
GLO - 1266,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Hercilio Luz,Florianopolis,SC,-48.5459657,-27.670118,-46.478126,-23.434552900000000
GLO - 1267,GOL,Hercilio Luz,Florianopolis,SC,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-48.5459657,-27.670118
GLO - 1268,GOL,Congonhas,Sao Paulo,SP,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-46.6565842,-23.6273246
GLO - 1269,GOL,Hercilio Luz,Florianopolis,SC,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-48.5459657,-27.670118
GLO - 1270,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1271,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.2494233,-22.8134098
GLO - 1272,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Hercilio Luz,Florianopolis,SC,-48.5459657,-27.670118,-46.478126,-23.434552900000000
GLO - 1273,GOL,Hercilio Luz,Florianopolis,SC,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-48.5459657,-27.670118
GLO - 1274,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-47.9172348,-15.869736900000000
GLO - 1275,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Regional De Maringa - Silvio Name Junior,Maringa,PR,-52.0164842,-23.4766098,-46.478126,-23.434552900000000
GLO - 1276,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Governador Jose Richa,Londrina,PR,-51.133159900000000,-23.332071400000000,-49.1724811,-25.5327132
GLO - 1277,GOL,Hercilio Luz,Florianopolis,SC,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-48.5459657,-27.670118
GLO - 1278,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-43.2494233,-22.8134098
GLO - 1279,GOL,Salgado Filho,Porto Alegre,RS,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-51.175381100000000,-29.9934732
GLO - 1280,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Senador Petronio Portella,Teresina,PI,-42.8211703,-5.0635434,-47.9172348,-15.869736900000000
GLO - 1281,GOL,Guararapes - Gilberto Freyre,Recife,PE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.924015400000000,-8.1259315
GLO - 1282,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-46.478126,-23.434552900000000
GLO - 1283,GOL,Guararapes - Gilberto Freyre,Recife,PE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.924015400000000,-8.1259315
GLO - 1284,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-47.9172348,-15.869736900000000
GLO - 1285,GOL,Guararapes - Gilberto Freyre,Recife,PE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.924015400000000,-8.1259315
GLO - 1287,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1288,GOL,Guararapes - Gilberto Freyre,Recife,PE,Senador Nilo Coelho,Petrolina,PE,-40.5660751,-9.3665077,-34.924015400000000,-8.1259315
GLO - 1289,GOL,Guararapes - Gilberto Freyre,Recife,PE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.924015400000000,-8.1259315
GLO - 1290,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-46.478126,-23.434552900000000
GLO - 1291,GOL,Senador Nilo Coelho,Petrolina,PE,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-40.5660751,-9.3665077
GLO - 1292,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-46.478126,-23.434552900000000
GLO - 1293,GOL,Guararapes - Gilberto Freyre,Recife,PE,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.924015400000000,-8.1259315
GLO - 1294,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-47.9172348,-15.869736900000000
GLO - 1296,GOL,Tancredo Neves,Confins,MG,Porto Seguro,Porto Seguro,BA,-39.0821431,-16.4395303,-43.965396000000000,-19.634099
GLO - 1297,GOL,Senador Petronio Portella,Teresina,PI,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-42.8211703,-5.0635434
GLO - 1298,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Senador Petronio Portella,Teresina,PI,-42.8211703,-5.0635434,-47.9172348,-15.869736900000000
GLO - 1299,GOL,Porto Seguro,Porto Seguro,BA,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-39.0821431,-16.4395303
GLO - 1300,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1301,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1302,GOL,Tancredo Neves,Confins,MG,Mario Ribeiro,Montes Claros,MG,-43.8200869,-16.704617200000000,-43.965396000000000,-19.634099
GLO - 1303,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1304,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1305,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Marechal Cunha Machado,Sao Luis,MA,-44.2348802,-2.5849927000000000,-47.9172348,-15.869736900000000
GLO - 1306,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1307,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1308,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1309,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1310,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1311,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1312,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1313,GOL,Mario Ribeiro,Montes Claros,MG,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-43.8200869,-16.704617200000000
GLO - 1314,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1315,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1316,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1317,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1318,GOL,Placido De Castro,Sena Madureira,AC,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,-63.89832,-8.7141702,-67.894367,-9.870171000000000
GLO - 1320,GOL,Tancredo Neves,Confins,MG,Marechal Cunha Machado,Sao Luis,MA,-44.2348802,-2.5849927000000000,-43.965396000000000,-19.634099
GLO - 1321,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1322,GOL,Congonhas,Sao Paulo,SP,Eurico De Aguiar Salles,Vitoria,ES,-40.2835346,-20.257648900000000,-46.6565842,-23.6273246
GLO - 1323,GOL,Guararapes - Gilberto Freyre,Recife,PE,Pinto Martins,Fortaleza,CE,-38.5330966,-3.7771555,-34.924015400000000,-8.1259315
GLO - 1324,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1325,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1326,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Viracopos,Campinas,SP,-47.1375685,-23.008205,-47.9172348,-15.869736900000000
GLO - 1328,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1329,GOL,Marechal Cunha Machado,Sao Luis,MA,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-44.2348802,-2.5849927000000000
GLO - 1330,GOL,Congonhas,Sao Paulo,SP,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,-48.2308653,-18.888969,-46.6565842,-23.6273246
GLO - 1331,GOL,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.2308653,-18.888969
GLO - 1332,GOL,Congonhas,Sao Paulo,SP,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,-48.2308653,-18.888969,-46.6565842,-23.6273246
GLO - 1333,GOL,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.2308653,-18.888969
GLO - 1334,GOL,Santos Dumont,Rio De Janeiro,RJ,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-43.1648755,-22.911143800000000
GLO - 1335,GOL,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-63.89832,-8.7141702
GLO - 1336,GOL,Congonhas,Sao Paulo,SP,Lauro Carneiro De Loyola,Joinville,SC,-48.799841800000000,-26.2234999,-46.6565842,-23.6273246
GLO - 1337,GOL,Lauro Carneiro De Loyola,Joinville,SC,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.799841800000000,-26.2234999
GLO - 1338,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1339,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-47.9172348,-15.869736900000000
GLO - 1340,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Maraba,Maraba,PA,-49.1369385,-5.3717191,-47.9172348,-15.869736900000000
GLO - 1341,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Eurico De Aguiar Salles,Vitoria,ES,-40.2835346,-20.257648900000000,-46.478126,-23.434552900000000
GLO - 1342,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,-48.2308653,-18.888969,-46.478126,-23.434552900000000
GLO - 1344,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-47.9172348,-15.869736900000000
GLO - 1345,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Governador Aluizio Alves,Natal,RN,-35.3673819,-5.768370200000000,-47.9172348,-15.869736900000000
GLO - 1346,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-47.9172348,-15.869736900000000
GLO - 1347,GOL,Val De Cans,Belem,PA,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-48.4775227,-1.3820615
GLO - 1348,GOL,Tancredo Neves,Confins,MG,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-43.965396000000000,-19.634099
GLO - 1349,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-38.3312411,-12.9110977
GLO - 1350,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Santa Maria,Aracaju,SE,-37.07624620000000,-10.9822278,-46.478126,-23.434552900000000
GLO - 1351,GOL,Presidente Castro Pinto,Bayeux,PB,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-34.950613700000000,-7.147060000000000
GLO - 1352,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Santa Maria,Aracaju,SE,-37.07624620000000,-10.9822278,-46.478126,-23.434552900000000
GLO - 1353,GOL,Marechal Cunha Machado,Sao Luis,MA,Prefeito Renato Moreira,Imperatriz,MA,-47.4560696,-5.5316945,-44.2348802,-2.5849927000000000
GLO - 1354,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-47.9172348,-15.869736900000000
GLO - 1356,GOL,Congonhas,Sao Paulo,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.6565842,-23.6273246
GLO - 1358,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-47.9172348,-15.869736900000000
GLO - 1360,GOL,Congonhas,Sao Paulo,SP,Campo Grande,Campo Grande,MS,-54.6741233,-20.4686937,-46.6565842,-23.6273246
GLO - 1361,GOL,Campo Grande,Campo Grande,MS,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-54.6741233,-20.4686937
GLO - 1362,GOL,Atlas Brasil Cantanhede,Boa Vista,RR,Eduardo Gomes,Manaus,AM,-60.046324900000000,-3.0358474000000000,-60.69259030000000,2.8419238000000000
GLO - 1363,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Brigadeiro Lysias Rodrigues,Palmas,TO,-48.3575251,-10.294325600000000,-47.9172348,-15.869736900000000
GLO - 1364,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-43.2494233,-22.8134098
GLO - 1365,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-46.478126,-23.434552900000000
GLO - 1366,GOL,Viracopos,Campinas,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-47.1375685,-23.008205
GLO - 1367,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Viracopos,Campinas,SP,-47.1375685,-23.008205,-49.1724811,-25.5327132
GLO - 1368,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.478126,-23.434552900000000
GLO - 1370,GOL,Congonhas,Sao Paulo,SP,Marechal Rondon,Varzea Grande,MT,-56.117268700000000,-15.653078600000000,-46.6565842,-23.6273246
GLO - 1371,GOL,Marechal Rondon,Varzea Grande,MT,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-56.117268700000000,-15.653078600000000
GLO - 1372,GOL,Guararapes - Gilberto Freyre,Recife,PE,Pinto Martins,Fortaleza,CE,-38.5330966,-3.7771555,-34.924015400000000,-8.1259315
GLO - 1373,GOL,Zumbi Dos Palmares,Rio Largo,AL,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-35.792882900000000,-9.5116056
GLO - 1374,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.478126,-23.434552900000000
GLO - 1375,GOL,Congonhas,Sao Paulo,SP,Porto Seguro,Porto Seguro,BA,-39.0821431,-16.4395303,-46.6565842,-23.6273246
GLO - 1376,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1377,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.1724811,-25.5327132
GLO - 1378,GOL,Congonhas,Sao Paulo,SP,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-46.6565842,-23.6273246
GLO - 1379,GOL,Santa Genoveva,Goiania,GO,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.2221166,-16.632488000000000
GLO - 1381,GOL,Cataratas,Foz Do Iguacu,PR,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-54.4909265,-25.5938142
GLO - 1382,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-46.478126,-23.434552900000000
GLO - 1383,GOL,Cataratas,Foz Do Iguacu,PR,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-54.4909265,-25.5938142
GLO - 1384,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-46.478126,-23.434552900000000
GLO - 1385,GOL,Cataratas,Foz Do Iguacu,PR,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-54.4909265,-25.5938142
GLO - 1386,GOL,Congonhas,Sao Paulo,SP,Lauro Carneiro De Loyola,Joinville,SC,-48.799841800000000,-26.2234999,-46.6565842,-23.6273246
GLO - 1387,GOL,Lauro Carneiro De Loyola,Joinville,SC,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-48.799841800000000,-26.2234999
GLO - 1388,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1390,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Zumbi Dos Palmares,Rio Largo,AL,-35.792882900000000,-9.5116056,-43.2494233,-22.8134098
GLO - 1391,GOL,Zumbi Dos Palmares,Rio Largo,AL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-35.792882900000000,-9.5116056
GLO - 1392,GOL,Pinto Martins,Fortaleza,CE,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-38.5330966,-3.7771555
GLO - 1393,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1394,GOL,Congonhas,Sao Paulo,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.6565842,-23.6273246
GLO - 1395,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-38.3312411,-12.9110977
GLO - 1397,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-38.3312411,-12.9110977
GLO - 1399,GOL,Tancredo Neves,Confins,MG,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.965396000000000,-19.634099
GLO - 1400,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1401,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1402,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Brigadeiro Lysias Rodrigues,Palmas,TO,-48.3575251,-10.294325600000000,-47.9172348,-15.869736900000000
GLO - 1403,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1404,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-47.9172348,-15.869736900000000
GLO - 1405,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1406,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1408,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1409,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1410,GOL,Congonhas,Sao Paulo,SP,Bahia - Jorge Amado,Ilheus,BA,-39.0317095,-14.8140511,-46.6565842,-23.6273246
GLO - 1411,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-38.3312411,-12.9110977
GLO - 1412,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1413,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1414,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1415,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1416,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1417,GOL,Bahia - Jorge Amado,Ilheus,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-39.0317095,-14.8140511
GLO - 1418,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-47.9172348,-15.869736900000000
GLO - 1419,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1420,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-47.9172348,-15.869736900000000
GLO - 1421,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1422,GOL,Congonhas,Sao Paulo,SP,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-46.6565842,-23.6273246
GLO - 1423,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-47.9172348,-15.869736900000000
GLO - 1424,GOL,Congonhas,Sao Paulo,SP,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-46.6565842,-23.6273246
GLO - 1425,GOL,Cataratas,Foz Do Iguacu,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-54.4909265,-25.5938142
